Filename,Broker,Source,DownloadedAt,SizeKB
mStock__MA1749301_20251231_COMBINED_MARGIN_STATEMENT.pdf,mStock,reports@mstock.com,2026-03-19T00:34:17.476817,43.8
mStock__MA1749301_20251231_COMBINED_MARGIN_STATEMENT_1773860657.pdf,mStock,reports@mstock.com,2026-03-19T00:34:17.484393,43.8
mStock__COMM_CONTRACT_20260101_MA1749301_6827764.pdf,mStock,reports@mstock.com,2026-03-19T00:34:19.174479,89.5
mStock__COMM_CONTRACT_20260101_MA1749301_6827764_1773860659.pdf,mStock,reports@mstock.com,2026-03-19T00:34:19.186840,89.5
mStock__MA1749301_20260101_COMBINED_MARGIN_STATEMENT.pdf,mStock,reports@mstock.com,2026-03-19T00:34:19.728305,44.5
mStock__MA1749301_20260101_COMBINED_MARGIN_STATEMENT_1773860659.pdf,mStock,reports@mstock.com,2026-03-19T00:34:19.740833,44.5
mStock__COMM_CONTRACT_20260102_MA1749301_6861387.pdf,mStock,reports@mstock.com,2026-03-19T00:34:20.469055,71.7
mStock__COMM_CONTRACT_20260102_MA1749301_6861387_1773860660.pdf,mStock,reports@mstock.com,2026-03-19T00:34:20.480372,71.7
mStock__MA1749301_20260102_COMBINED_MARGIN_STATEMENT.pdf,mStock,reports@mstock.com,2026-03-19T00:34:22.051148,43.8
mStock__MA1749301_20260102_COMBINED_MARGIN_STATEMENT_1773860662.pdf,mStock,reports@mstock.com,2026-03-19T00:34:22.063926,43.8
mStock__MA1749301_TRD_20260102_COMBINEDRETAIN.PDF,mStock,reports@mstock.com,2026-03-19T00:34:22.742858,82.6
mStock__MA1749301_TRD_20260102_COMBINEDRETAIN_1773860662.PDF,mStock,reports@mstock.com,2026-03-19T00:34:22.754910,82.6
mStock__COMM_CONTRACT_20260105_MA1749301_6895805.pdf,mStock,reports@mstock.com,2026-03-19T00:34:26.354469,75.9
mStock__COMM_CONTRACT_20260105_MA1749301_6895805_1773860666.pdf,mStock,reports@mstock.com,2026-03-19T00:34:26.368920,75.9
mStock__TRANSACTION_1209290007874515_20251231.pdf,mStock,reports@mstock.com,2026-03-19T00:34:27.094852,58.7
mStock__TRANSACTION_1209290007874515_20251231_1773860667.pdf,mStock,reports@mstock.com,2026-03-19T00:34:27.106028,58.7
mStock__MA1749301_20260105_COMBINED_MARGIN_STATEMENT.pdf,mStock,reports@mstock.com,2026-03-19T00:34:27.727794,43.8
mStock__MA1749301_20260105_COMBINED_MARGIN_STATEMENT_1773860667.pdf,mStock,reports@mstock.com,2026-03-19T00:34:27.739640,43.8
mStock__COMM_CONTRACT_20260106_MA1749301_6929432.pdf,mStock,reports@mstock.com,2026-03-19T00:34:29.356907,75.9
mStock__COMM_CONTRACT_20260106_MA1749301_6929432_1773860669.pdf,mStock,reports@mstock.com,2026-03-19T00:34:29.368387,75.9
mStock__MA1749301_20260106_COMBINED_MARGIN_STATEMENT.pdf,mStock,reports@mstock.com,2026-03-19T00:34:29.913562,44.5
mStock__MA1749301_20260106_COMBINED_MARGIN_STATEMENT_1773860669.pdf,mStock,reports@mstock.com,2026-03-19T00:34:29.925630,44.5
mStock__COMM_CONTRACT_20260107_MA1749301_6964185.pdf,mStock,reports@mstock.com,2026-03-19T00:34:30.729372,83.5
mStock__COMM_CONTRACT_20260107_MA1749301_6964185_1773860670.pdf,mStock,reports@mstock.com,2026-03-19T00:34:30.742685,83.5
mStock__MA1749301_20260107_COMBINED_MARGIN_STATEMENT.pdf,mStock,reports@mstock.com,2026-03-19T00:34:31.272172,44.5
mStock__MA1749301_20260107_COMBINED_MARGIN_STATEMENT_1773860671.pdf,mStock,reports@mstock.com,2026-03-19T00:34:31.282536,44.5
mStock__COMM_CONTRACT_20260108_MA1749301_6997990.pdf,mStock,reports@mstock.com,2026-03-19T00:34:34.407341,75.8
mStock__COMM_CONTRACT_20260108_MA1749301_6997990_1773860674.pdf,mStock,reports@mstock.com,2026-03-19T00:34:34.421746,75.8
mStock__MA1749301_20260108_COMBINED_MARGIN_STATEMENT.pdf,mStock,reports@mstock.com,2026-03-19T00:34:35.061586,43.8
mStock__MA1749301_20260108_COMBINED_MARGIN_STATEMENT_1773860675.pdf,mStock,reports@mstock.com,2026-03-19T00:34:35.073506,43.8
mStock__COMM_CONTRACT_20260109_MA1749301_7033739.pdf,mStock,reports@mstock.com,2026-03-19T00:34:36.311648,85.7
mStock__COMM_CONTRACT_20260109_MA1749301_7033739_1773860676.pdf,mStock,reports@mstock.com,2026-03-19T00:34:36.323895,85.7
mStock__MA1749301_20260109_COMBINED_MARGIN_STATEMENT.pdf,mStock,reports@mstock.com,2026-03-19T00:34:37.071326,44.5
mStock__MA1749301_20260109_COMBINED_MARGIN_STATEMENT_1773860677.pdf,mStock,reports@mstock.com,2026-03-19T00:34:37.083609,44.5
mStock__TRANSACTION_1209290007874515_20251231_1773860678.pdf,mStock,reports@mstock.com,2026-03-19T00:34:38.222163,62.3
mStock__COMM_CONTRACT_20260112_MA1749301_7067524.pdf,mStock,reports@mstock.com,2026-03-19T00:34:42.621881,79.4
mStock__COMM_CONTRACT_20260112_MA1749301_7067524_1773860682.pdf,mStock,reports@mstock.com,2026-03-19T00:34:42.634487,79.4
mStock__MA1749301_20260112_COMBINED_MARGIN_STATEMENT.pdf,mStock,reports@mstock.com,2026-03-19T00:34:43.261343,43.8
mStock__MA1749301_20260112_COMBINED_MARGIN_STATEMENT_1773860683.pdf,mStock,reports@mstock.com,2026-03-19T00:34:43.273783,43.8
mStock__MA1749301_20260112_COMBINED_MARGIN_STATEMENT_1773860684.pdf,mStock,reports@mstock.com,2026-03-19T00:34:44.075376,43.8
mStock__COMM_CONTRACT_20260113_MA1749301_7102225.pdf,mStock,reports@mstock.com,2026-03-19T00:34:46.154773,81.5
mStock__COMM_CONTRACT_20260113_MA1749301_7102225_1773860686.pdf,mStock,reports@mstock.com,2026-03-19T00:34:46.167307,81.5
mStock__MA1749301_20260113_COMBINED_MARGIN_STATEMENT.pdf,mStock,reports@mstock.com,2026-03-19T00:34:46.809129,43.8
mStock__MA1749301_20260113_COMBINED_MARGIN_STATEMENT_1773860686.pdf,mStock,reports@mstock.com,2026-03-19T00:34:46.824686,43.8
mStock__COMM_CONTRACT_20260114_MA1749301_7137077.pdf,mStock,reports@mstock.com,2026-03-19T00:34:47.637512,83.2
mStock__COMM_CONTRACT_20260114_MA1749301_7137077_1773860687.pdf,mStock,reports@mstock.com,2026-03-19T00:34:47.650297,83.2
mStock__MA1749301_20260114_COMBINED_MARGIN_STATEMENT.pdf,mStock,reports@mstock.com,2026-03-19T00:34:48.256233,44.5
mStock__MA1749301_20260114_COMBINED_MARGIN_STATEMENT_1773860688.pdf,mStock,reports@mstock.com,2026-03-19T00:34:48.268500,44.5
mStock__COMM_CONTRACT_20260116_MA1749301_7170744.pdf,mStock,reports@mstock.com,2026-03-19T00:34:51.729262,84.7
mStock__COMM_CONTRACT_20260116_MA1749301_7170744_1773860691.pdf,mStock,reports@mstock.com,2026-03-19T00:34:51.742510,84.7
mStock__MA1749301_20260116_COMBINED_MARGIN_STATEMENT.pdf,mStock,reports@mstock.com,2026-03-19T00:34:52.427225,44.5
mStock__MA1749301_20260116_COMBINED_MARGIN_STATEMENT_1773860692.pdf,mStock,reports@mstock.com,2026-03-19T00:34:52.439691,44.5
mStock__COMM_CONTRACT_20260119_MA1749301_7205953.pdf,mStock,reports@mstock.com,2026-03-19T00:34:54.829686,81.0
mStock__COMM_CONTRACT_20260119_MA1749301_7205953_1773860694.pdf,mStock,reports@mstock.com,2026-03-19T00:34:54.847600,81.0
mStock__MA1749301_20260119_COMBINED_MARGIN_STATEMENT.pdf,mStock,reports@mstock.com,2026-03-19T00:34:55.433779,44.5
mStock__MA1749301_20260119_COMBINED_MARGIN_STATEMENT_1773860695.pdf,mStock,reports@mstock.com,2026-03-19T00:34:55.450505,44.5
mStock__COMM_CONTRACT_20260120_MA1749301_7242411.pdf,mStock,reports@mstock.com,2026-03-19T00:34:57.025227,88.0
mStock__COMM_CONTRACT_20260120_MA1749301_7242411_1773860697.pdf,mStock,reports@mstock.com,2026-03-19T00:34:57.038418,88.0
mStock__MA1749301_20260120_COMBINED_MARGIN_STATEMENT.pdf,mStock,reports@mstock.com,2026-03-19T00:34:59.818130,44.5
mStock__MA1749301_20260120_COMBINED_MARGIN_STATEMENT_1773860699.pdf,mStock,reports@mstock.com,2026-03-19T00:34:59.837714,44.5
mStock__COMM_CONTRACT_20260121_MA1749301_7279705.pdf,mStock,reports@mstock.com,2026-03-19T00:35:00.503351,81.3
mStock__COMM_CONTRACT_20260121_MA1749301_7279705_1773860700.pdf,mStock,reports@mstock.com,2026-03-19T00:35:00.521501,81.3
mStock__MA1749301_20260121_COMBINED_MARGIN_STATEMENT.pdf,mStock,reports@mstock.com,2026-03-19T00:35:01.075620,43.8
mStock__MA1749301_20260121_COMBINED_MARGIN_STATEMENT_1773860701.pdf,mStock,reports@mstock.com,2026-03-19T00:35:01.093688,43.8
mStock__COMM_CONTRACT_20260122_MA1749301_7315112.pdf,mStock,reports@mstock.com,2026-03-19T00:35:01.857927,87.7
mStock__COMM_CONTRACT_20260122_MA1749301_7315112_1773860701.pdf,mStock,reports@mstock.com,2026-03-19T00:35:01.879780,87.7
mStock__MA1749301_20260122_COMBINED_MARGIN_STATEMENT.pdf,mStock,reports@mstock.com,2026-03-19T00:35:02.576625,44.5
mStock__MA1749301_20260122_COMBINED_MARGIN_STATEMENT_1773860702.pdf,mStock,reports@mstock.com,2026-03-19T00:35:02.589872,44.5
mStock__COMM_CONTRACT_20260123_MA1749301_7350312.pdf,mStock,reports@mstock.com,2026-03-19T00:35:03.247896,85.7
mStock__COMM_CONTRACT_20260123_MA1749301_7350312_1773860703.pdf,mStock,reports@mstock.com,2026-03-19T00:35:03.262810,85.7
mStock__MA1749301_20260123_COMBINED_MARGIN_STATEMENT.pdf,mStock,reports@mstock.com,2026-03-19T00:35:03.905742,43.8
mStock__MA1749301_20260123_COMBINED_MARGIN_STATEMENT_1773860703.pdf,mStock,reports@mstock.com,2026-03-19T00:35:03.918178,43.8
mStock__COMM_CONTRACT_20260127_MA1749301_7384816.pdf,mStock,reports@mstock.com,2026-03-19T00:35:08.779862,109.7
mStock__COMM_CONTRACT_20260127_MA1749301_7384816_1773860708.pdf,mStock,reports@mstock.com,2026-03-19T00:35:08.793796,109.7
mStock__MA1749301_20260127_COMBINED_MARGIN_STATEMENT.pdf,mStock,reports@mstock.com,2026-03-19T00:35:09.431278,44.5
mStock__MA1749301_20260127_COMBINED_MARGIN_STATEMENT_1773860709.pdf,mStock,reports@mstock.com,2026-03-19T00:35:09.443932,44.5
mStock__COMM_CONTRACT_20260128_MA1749301_7420520.pdf,mStock,reports@mstock.com,2026-03-19T00:35:10.891424,103.0
mStock__COMM_CONTRACT_20260128_MA1749301_7420520_1773860710.pdf,mStock,reports@mstock.com,2026-03-19T00:35:10.904398,103.0
mStock__MA1749301_20260128_COMBINED_MARGIN_STATEMENT.pdf,mStock,reports@mstock.com,2026-03-19T00:35:11.467671,44.5
mStock__MA1749301_20260128_COMBINED_MARGIN_STATEMENT_1773860711.pdf,mStock,reports@mstock.com,2026-03-19T00:35:11.480226,44.5
mStock__COMM_CONTRACT_20260129_MA1749301_7455596.pdf,mStock,reports@mstock.com,2026-03-19T00:35:12.390021,75.4
mStock__COMM_CONTRACT_20260129_MA1749301_7455596_1773860712.pdf,mStock,reports@mstock.com,2026-03-19T00:35:12.403035,75.4
mStock__MA1749301_20260129_COMBINED_MARGIN_STATEMENT.pdf,mStock,reports@mstock.com,2026-03-19T00:35:13.007638,43.8
mStock__MA1749301_20260129_COMBINED_MARGIN_STATEMENT_1773860713.pdf,mStock,reports@mstock.com,2026-03-19T00:35:13.019948,43.8
mStock__COMM_CONTRACT_20260130_MA1749301_7490981.pdf,mStock,reports@mstock.com,2026-03-19T00:35:17.013670,83.6
mStock__COMM_CONTRACT_20260130_MA1749301_7490981_1773860717.pdf,mStock,reports@mstock.com,2026-03-19T00:35:17.027134,83.6
mStock__MA1749301_20260130_COMBINED_MARGIN_STATEMENT.pdf,mStock,reports@mstock.com,2026-03-19T00:35:18.750467,43.8
mStock__MA1749301_20260130_COMBINED_MARGIN_STATEMENT_1773860718.pdf,mStock,reports@mstock.com,2026-03-19T00:35:18.764388,43.8
