Date,Exchange,Underlying,Strike,Type,Expiry,Buy/Sell,Quantity,WAP,Brokerage,Net Price,Net Total,Broker
2026-03-02,NSE,NIFTY,24900.0,CE,2026-03-02,Buy,65,80.4,0.3077,80.71,-5246.0,Groww
2026-03-02,NSE,NIFTY,24900.0,CE,2026-03-02,Sell,-65,93.1,0.3077,92.79,6031.5,Groww
2026-03-04,NSE,SENSEX,79600.0,CE,2026-03-05,Buy,20,223.95,1.0,224.95,-4499.0,Groww
2026-03-04,NSE,SENSEX,79600.0,CE,2026-03-05,Sell,-20,254.3,1.0,253.3,5066.0,Groww
2026-03-05,NSE,NIFTY,24150.0,PE,2026-03-10,Buy,65,103.15,0.3077,103.46,-6724.75,Groww
2026-03-05,NSE,NIFTY,24150.0,PE,2026-03-10,Sell,-65,105.0,0.3077,104.69,6805.0,Groww
2026-03-05,NSE,SENSEX,79200.0,PE,2026-03-05,Buy,20,195.6,1.0,196.6,-3932.0,Groww
2026-03-05,NSE,SENSEX,79200.0,PE,2026-03-05,Sell,-20,130.0,1.0,129.0,2580.0,Groww
2026-03-05,NSE,SENSEX,79300.0,PE,2026-03-05,Buy,20,150.0,1.0,151.0,-3020.0,Groww
2026-03-05,NSE,SENSEX,79300.0,PE,2026-03-05,Sell,-20,130.0,1.0,129.0,2580.0,Groww
2026-03-05,NSE,SENSEX,79500.0,PE,2026-03-05,Buy,20,249.8,1.0,250.8,-5016.0,Groww
2026-03-05,NSE,SENSEX,79500.0,PE,2026-03-05,Sell,-20,210.0,1.0,209.0,4180.0,Groww
2026-03-05,NSE,SENSEX,79600.0,CE,2026-03-05,Buy,20,171.05,1.0,172.05,-3441.0,Groww
2026-03-05,NSE,SENSEX,79600.0,CE,2026-03-05,Sell,-20,175.0,1.0,174.0,3480.0,Groww
2026-03-06,NSE,NIFTY,23900.0,PE,2026-03-10,Buy,65,71.85,0.3077,72.16,-4690.25,Groww
2026-03-06,NSE,NIFTY,23900.0,PE,2026-03-10,Sell,-65,76.8,0.3077,76.49,4972.0,Groww
2026-03-06,NSE,NIFTY,24150.0,PE,2026-03-10,Buy,65,73.6,0.3077,73.91,-4804.0,Groww
2026-03-06,NSE,NIFTY,24150.0,PE,2026-03-10,Sell,-65,77.0,0.3077,76.69,4985.0,Groww
2026-03-09,NSE,NIFTY,24100.0,CE,2026-03-10,Buy,65,85.05,0.3077,85.36,-5548.25,Groww
2026-03-09,NSE,NIFTY,24100.0,CE,2026-03-10,Sell,-65,96.0,0.3077,95.69,6220.0,Groww
2026-03-10,NSE,NIFTY,24200.0,CE,2026-03-10,Buy,65,76.95,0.3077,77.26,-5021.75,Groww
2026-03-10,NSE,NIFTY,24200.0,CE,2026-03-10,Sell,-65,86.9,0.3077,86.59,5628.5,Groww
2026-03-11,NSE,NIFTY,23150.0,PE,2026-03-17,Buy,65,87.15,0.3077,87.46,-5684.75,Groww
2026-03-11,NSE,NIFTY,23150.0,PE,2026-03-17,Sell,-65,94.9,0.3077,94.59,6148.5,Groww
2026-03-11,NSE,SENSEX,76700.0,PE,2026-03-12,Buy,20,338.8,1.0,339.8,-6796.0,Groww
2026-03-11,NSE,SENSEX,76700.0,PE,2026-03-12,Sell,-20,308.0,1.0,307.0,6140.0,Groww
2026-03-11,NSE,SENSEX,77900.0,CE,2026-03-12,Buy,20,296.55,1.0,297.55,-5951.0,Groww
2026-03-11,NSE,SENSEX,77900.0,CE,2026-03-12,Sell,-20,265.0,1.0,264.0,5280.0,Groww
2026-03-12,NSE,NIFTY,24200.0,CE,2026-03-17,Buy,65,93.35,0.3077,93.66,-6087.75,Groww
2026-03-12,NSE,NIFTY,24200.0,CE,2026-03-17,Sell,-65,82.55,0.3077,82.24,5345.75,Groww
2026-03-12,NSE,SENSEX,76100.0,PE,2026-03-12,Buy,40,45.0,0.5,45.5,-1820.0,Groww
2026-03-12,NSE,SENSEX,76100.0,PE,2026-03-12,Sell,-40,80.0,0.5,79.5,3180.0,Groww
2026-03-12,NSE,SENSEX,76200.0,PE,2026-03-12,Buy,80,84.75,0.5,85.25,-6820.0,Groww
2026-03-12,NSE,SENSEX,76200.0,PE,2026-03-12,Sell,-80,79.5,0.5,79.0,6320.0,Groww
2026-02-13,NSE,NIFTY,25500.0,PE,2026-02-17,Buy,130,71.7,0.1538,71.85,-9341.0,Groww
2026-02-13,NSE,NIFTY,25500.0,PE,2026-02-17,Sell,-130,75.0,0.1538,74.85,9730.0,Groww
2026-02-13,NSE,NIFTY,25650.0,PE,2026-02-17,Buy,195,131.33,0.3077,131.64,-25670.0,Groww
2026-02-13,NSE,NIFTY,25650.0,PE,2026-02-17,Sell,-195,137.0,0.3077,136.69,26655.0,Groww
2026-03-13,NSE,NIFTY,22850.0,PE,2026-03-17,Buy,65,83.4,0.3077,83.71,-5441.0,Groww
2026-03-13,NSE,NIFTY,22850.0,PE,2026-03-17,Sell,-65,125.15,0.3077,124.84,8114.75,Groww
2026-03-13,NSE,NIFTY,22900.0,PE,2026-03-17,Buy,65,96.0,0.3077,96.31,-6260.0,Groww
2026-03-13,NSE,NIFTY,22900.0,PE,2026-03-17,Sell,-65,86.0,0.3077,85.69,5570.0,Groww
2026-02-16,NSE,NIFTY,25400.0,PE,2026-02-17,Buy,130,57.3,0.1538,57.45,-7469.0,Groww
2026-02-16,NSE,NIFTY,25400.0,PE,2026-02-17,Sell,-130,62.0,0.1538,61.85,8040.0,Groww
2026-02-16,NSE,NIFTY,25500.0,CE,2026-02-17,Buy,130,81.7,0.1538,81.85,-10641.0,Groww
2026-02-16,NSE,NIFTY,25500.0,CE,2026-02-17,Sell,-130,71.0,0.1538,70.85,9210.0,Groww
2026-03-16,NSE,NIFTY,22750.0,PE,2026-03-17,Buy,65,99.25,0.3077,99.56,-6471.25,Groww
2026-03-16,NSE,NIFTY,22750.0,PE,2026-03-17,Sell,-65,89.0,0.3077,88.69,5765.0,Groww
2026-03-16,NSE,NIFTY,22850.0,PE,2026-03-17,Buy,130,100.0,0.3077,100.31,-13040.0,Groww
2026-03-16,NSE,NIFTY,22850.0,PE,2026-03-17,Sell,-130,96.5,0.3077,96.19,12505.0,Groww
2026-03-16,NSE,NIFTY,22900.0,PE,2026-03-17,Buy,65,96.3,0.3077,96.61,-6279.5,Groww
2026-03-16,NSE,NIFTY,22900.0,PE,2026-03-17,Sell,-65,86.0,0.3077,85.69,5570.0,Groww
2026-03-16,NSE,NIFTY,22950.0,PE,2026-03-17,Buy,65,98.7,0.3077,99.01,-6435.5,Groww
2026-03-16,NSE,NIFTY,22950.0,PE,2026-03-17,Sell,-65,101.9,0.3077,101.59,6603.5,Groww
2026-03-16,NSE,NIFTY,23000.0,PE,2026-03-17,Buy,65,109.3,0.3077,109.61,-7124.5,Groww
2026-03-16,NSE,NIFTY,23000.0,PE,2026-03-17,Sell,-65,113.0,0.3077,112.69,7325.0,Groww
2026-03-16,NSE,NIFTY,23050.0,PE,2026-03-17,Buy,65,101.2,0.3077,101.51,-6598.0,Groww
2026-03-16,NSE,NIFTY,23050.0,PE,2026-03-17,Sell,-65,106.0,0.3077,105.69,6870.0,Groww
2026-02-17,NSE,NIFTY,25700.0,CE,2026-02-17,Buy,65,61.15,0.3077,61.46,-3994.75,Groww
2026-02-17,NSE,NIFTY,25700.0,CE,2026-02-17,Sell,-65,52.0,0.3077,51.69,3360.0,Groww
2026-02-17,NSE,NIFTY,25700.0,PE,2026-02-17,Buy,65,133.8,0.3077,134.11,-8717.0,Groww
2026-02-17,NSE,NIFTY,25700.0,PE,2026-02-17,Sell,-65,102.45,0.3077,102.14,6639.25,Groww
2026-02-17,NSE,NIFTY,25750.0,PE,2026-02-17,Buy,130,109.53,0.3077,109.83,-14278.25,Groww
2026-02-17,NSE,NIFTY,25750.0,PE,2026-02-17,Sell,-130,101.33,0.3077,101.02,13132.25,Groww
2026-02-18,NSE,NIFTY,25600.0,PE,2026-02-24,Buy,65,86.15,0.3077,86.46,-5619.75,Groww
2026-02-18,NSE,NIFTY,25600.0,PE,2026-02-24,Sell,-65,98.0,0.3077,97.69,6350.0,Groww
2026-02-18,NSE,NIFTY,25650.0,PE,2026-02-24,Buy,65,99.05,0.3077,99.36,-6458.25,Groww
2026-02-18,NSE,NIFTY,25650.0,PE,2026-02-24,Sell,-65,88.0,0.3077,87.69,5700.0,Groww
2026-02-18,NSE,NIFTY,25800.0,CE,2026-02-24,Buy,65,95.0,0.3077,95.31,-6195.0,Groww
2026-02-18,NSE,NIFTY,25800.0,CE,2026-02-24,Sell,-65,98.0,0.3077,97.69,6350.0,Groww
2026-02-19,NSE,NIFTY,25450.0,PE,2026-02-24,Buy,65,94.85,0.3077,95.16,-6185.25,Groww
2026-02-19,NSE,NIFTY,25450.0,PE,2026-02-24,Sell,-65,98.0,0.3077,97.69,6350.0,Groww
2026-02-19,NSE,NIFTY,25650.0,PE,2026-02-24,Buy,65,108.0,0.3077,108.31,-7040.0,Groww
2026-02-19,NSE,NIFTY,25650.0,PE,2026-02-24,Sell,-65,111.9,0.3077,111.59,7253.5,Groww
2026-02-19,NSE,NIFTY,25700.0,PE,2026-02-24,Buy,65,81.25,0.3077,81.56,-5301.25,Groww
2026-02-19,NSE,NIFTY,25700.0,PE,2026-02-24,Sell,-65,97.0,0.3077,96.69,6285.0,Groww
2026-02-19,NSE,NIFTY,25900.0,CE,2026-02-24,Buy,65,25.95,0.3077,26.26,-1706.75,Groww
